station,latitude,longitude,altitude,year,month,month_num,pressure,wind_speed,temperature,dew_point,humidity,nebulosity,precipitations,nb_rainy_days,low_clouds,mid_clouds,high_clouds,date
Brest,48.444167,-4.412,94,2013,Jan,1,1014.7975806451612,4.85766129032258,7.285887096774216,5.4286290322580895,88.3991935483871,84.78629032258064,158.1,18,Stratocumulus,mid clouds invisible,high clouds invisible,2013-01-01
Brest,48.444167,-4.412,94,2013,Feb,2,1018.3892857142857,4.899107142857143,5.722321428571451,2.4093750000000207,80.25,67.74043367346938,72.6,13,Stratocumulus,mid clouds invisible,high clouds invisible,2013-02-01
Brest,48.444167,-4.412,94,2013,Mar,3,1005.2145161290323,5.172580645161291,6.362096774193573,3.070564516129055,80.58870967741936,81.0668202764977,89.39999999999999,14,Stratocumulus,mid clouds invisible,high clouds invisible,2013-03-01
Brest,48.444167,-4.412,94,2013,Apr,4,1015.51375,5.70625,8.376250000000022,5.083333333333357,80.94583333333334,70.75297619047619,115.2,12,Cumulus,mid clouds absent,high clouds invisible,2013-04-01
Brest,48.444167,-4.412,94,2013,May,5,1015.5528225806452,4.7612903225806456,10.657258064516151,7.012500000000023,79.61693548387096,66.29608294930875,80.1,10,Cumulus,mid clouds absent,Cirrus,2013-05-01
Brest,48.444167,-4.412,94,2013,Jun,6,1019.84625,4.766666666666667,13.611250000000025,10.91166666666669,84.8125,76.45178571428572,64,10,Cumulus,mid clouds invisible,high clouds invisible,2013-06-01
Brest,48.444167,-4.412,94,2013,Jul,7,1019.9036866359447,4.634216589861751,17.732373271889426,13.807891705069146,79.72235023041475,50.70852534562212,35.4,7,low clouds absent,mid clouds absent,Cirrus,2013-07-01
Brest,48.444167,-4.412,94,2013,Aug,8,1019.6229838709678,3.6423387096774196,17.054032258064538,13.121370967741957,79.66129032258064,65.00345622119816,27.8,8,Stratocumulus,mid clouds absent,Cirrus,2013-08-01
Brest,48.444167,-4.412,94,2013,Sep,9,1017.2082142857142,3.408154761904762,15.701904761904784,12.606011904761926,83.63333333333334,67.21369047619048,53.2,13,Cumulus,mid clouds absent,high clouds invisible,2013-09-01
Brest,48.444167,-4.412,94,2013,Oct,10,1012.6950268817204,5.344892473118279,14.272983870967765,11.932930107526905,86.50806451612904,75.66532258064517,145.8,18,Cumulus,mid clouds absent,high clouds invisible,2013-10-01
Brest,48.444167,-4.412,94,2013,Nov,11,1020.4969642857143,4.315476190476191,9.700892857142879,6.6726785714285946,82.07321428571429,83.74404761904762,152.6,17,Stratocumulus,mid clouds invisible,high clouds invisible,2013-11-01
Brest,48.444167,-4.412,94,2013,Dec,12,1017.6532258064516,5.748387096774193,8.3443548387097,5.9584677419355065,85.375,76.05990783410138,249.2,17,Stratocumulus,mid clouds absent,high clouds invisible,2013-12-01
Brest,48.444167,-4.412,94,2014,Jan,1,1004.2883640552996,6.017684331797235,8.155472350230438,6.066186635944722,87.11808755760369,78.39112903225806,232.2,25,Cumulus,mid clouds invisible,high clouds invisible,2014-01-01
Brest,48.444167,-4.412,94,2014,Feb,2,1001.7549107142858,7.33718112244898,7.854464285714308,4.7401785714285944,81.375,80.1498724489796,267.8,27,Cumulus,mid clouds absent,high clouds invisible,2014-02-01
Brest,48.444167,-4.412,94,2014,Mar,3,1016.5351958525346,4.460944700460829,8.396313364055322,5.724481566820297,84.25230414746544,77.65610599078342,81,12,Stratocumulus,mid clouds invisible,high clouds invisible,2014-03-01
Brest,48.444167,-4.412,94,2014,Apr,4,1014.8206666666666,4.547345238095239,10.69941666666669,7.246428571428594,81.01369047619048,66.50833333333334,69.4,8,Stratocumulus,mid clouds absent,high clouds invisible,2014-04-01
Brest,48.444167,-4.412,94,2014,May,5,1016.7423387096774,4.234677419354838,12.286290322580665,8.542338709677441,79.54032258064517,65.73387096774194,129.2,15,Cumulus,mid clouds absent,high clouds invisible,2014-05-01
Brest,48.444167,-4.412,94,2014,Jun,6,1018.93125,4.224166666666667,15.94291666666669,11.168333333333356,75.35833333333333,56.919642857142854,21.8,5,Cumulus,mid clouds absent,Cirrus,2014-06-01
Brest,48.444167,-4.412,94,2014,Jul,7,1017.2762096774194,3.6850806451612903,17.672983870967766,13.852822580645183,79.98387096774194,64.45852534562212,49.8,6,Cumulus,mid clouds absent,high clouds invisible,2014-07-01
Brest,48.444167,-4.412,94,2014,Aug,8,1014.8451612903226,4.060887096774193,15.797983870967764,12.15967741935486,80.26209677419355,71.0397465437788,118.8,10,Cumulus,mid clouds absent,high clouds invisible,2014-08-01
Brest,48.444167,-4.412,94,2014,Sep,9,1017.7475,2.9975,16.967083333333356,13.410000000000023,81.0625,58.06666666666667,12.6,2,low clouds absent,mid clouds absent,Cirrus,2014-09-01
Brest,48.444167,-4.412,94,2014,Oct,10,1014.0866935483871,4.793951612903226,14.448387096774216,11.535080645161313,83.45967741935483,73.92972350230414,120.2,15,Cumulus,mid clouds absent,high clouds invisible,2014-10-01
Brest,48.444167,-4.412,94,2014,Nov,11,1005.4575,4.347083333333333,10.540416666666692,8.310000000000022,86.57916666666667,75.92460317460318,183.2,21,Cumulus,mid clouds invisible,high clouds invisible,2014-11-01
Brest,48.444167,-4.412,94,2014,Dec,12,1023.9895161290323,4.582661290322581,8.145564516129054,5.182661290322602,82.15725806451613,82.03571428571429,90.9,21,Stratocumulus,mid clouds absent,nuages haut absent,2014-12-01
Brest,48.444167,-4.412,94,2015,Jan,1,1019.214228110599,5.514458525345622,7.68980414746546,4.708179723502328,82.09850230414746,83.66359447004608,178.6,22,Stratocumulus,mid clouds absent,nuages haut absent,2015-01-01
Brest,48.444167,-4.412,94,2015,Feb,2,1018.7584821428571,4.979464285714285,5.731696428571452,2.6031250000000243,81.32589285714286,73.41369047619048,135.5,16,Cumulus,mid clouds absent,nuages haut absent,2015-02-01
Brest,48.444167,-4.412,94,2015,Mar,3,1023.3099974398361,5.215015360983103,8.214919354838733,4.937493599590397,80.69105222734255,77.17146697388633,49.1,12,Stratocumulus,mid clouds absent,nuages haut absent,2015-03-01
Brest,48.444167,-4.412,94,2015,Apr,4,1021.1141666666666,4.35,11.236250000000025,6.503333333333355,75.1,55.397372742200325,65,8,low clouds absent,mid clouds absent,nuages haut absent,2015-04-01
Brest,48.444167,-4.412,94,2015,May,5,1017.6798387096774,4.658870967741936,12.1943548387097,9.024193548387121,82.04435483870968,83.60867895545314,86.8,11,Cumulus,mid clouds absent,nuages haut absent,2015-05-01
Brest,48.444167,-4.412,94,2015,Jun,6,1021.2291666666666,4.150416666666667,15.12541666666669,10.623750000000024,76.48333333333333,61.031150793650795,11.8,3,Cumulus,mid clouds absent,Cirrus,2015-06-01
Brest,48.444167,-4.412,94,2015,Jul,7,1017.1334677419355,4.343145161290322,16.64717741935486,12.752419354838732,79.25806451612904,74.60541474654377,84.7,11,Cumulus,mid clouds absent,nuages haut absent,2015-07-01
Brest,48.444167,-4.412,94,2015,Aug,8,1015.2032258064517,4.209677419354839,15.929435483870991,12.875403225806476,83.36693548387096,78.0226574500768,150.7,14,Stratocumulus,mid clouds absent,Cirrus,2015-08-01
Brest,48.444167,-4.412,94,2015,Sep,9,1017.5041666666667,3.9004166666666666,13.733750000000022,9.946666666666689,79.32083333333334,56.477380952380955,54.9,9,Cumulus,mid clouds absent,nuages haut absent,2015-09-01
Brest,48.444167,-4.412,94,2015,Oct,10,1016.8431451612903,4.060080645161291,12.258467741935506,9.293951612903248,82.87096774193549,71.10407066052227,107.3,8,Stratocumulus,mid clouds absent,nuages haut absent,2015-10-01
Brest,48.444167,-4.412,94,2015,Nov,11,1020.4475,5.928333333333334,12.224583333333356,9.521250000000023,84.14583333333333,83.22242063492064,125.8,15,Stratocumulus,mid clouds absent,nuages haut absent,2015-11-01
Brest,48.444167,-4.412,94,2015,Dec,12,1020.7332373271889,7.549884792626728,12.09481566820279,8.959389400921681,81.6831797235023,88.1760752688172,119,16,Stratocumulus,mid clouds absent,nuages haut absent,2015-12-01
Brest,48.444167,-4.412,94,2016,Jan,1,1011.2887096774193,6.048924731182796,8.445161290322604,5.825000000000022,84.21774193548387,87.15399385560676,283.1,25,Cumulus,mid clouds absent,nuages haut absent,2016-01-01
Brest,48.444167,-4.412,94,2016,Feb,2,1013.4801724137931,5.557327586206896,7.363793103448298,4.006465517241401,80.10344827586206,86.18185550082102,153.1,18,Cumulus,mid clouds absent,nuages haut absent,2016-02-01
Brest,48.444167,-4.412,94,2016,Mar,3,1016.0778801843318,5.638940092165899,7.312211981566843,3.397983870967765,77.18836405529954,71.8592549923195,116.6,14,Cumulus,mid clouds absent,nuages haut absent,2016-03-01
Brest,48.444167,-4.412,94,2016,Apr,4,1013.5354166666667,4.445,8.901250000000022,4.476666666666689,75.20833333333333,73.18373015873016,53.5,13,Cumulus,mid clouds absent,nuages haut absent,2016-04-01
Brest,48.444167,-4.412,94,2016,May,5,1014.6092741935483,3.9128456221198156,12.883755760368686,9.005241935483895,79.06163594470046,75.52918586789555,53,8,Cumulus,mid clouds absent,Cirrus,2016-05-01
Brest,48.444167,-4.412,94,2016,Jun,6,1016.6799404761905,3.8479761904761904,15.333273809523833,12.617440476190499,84.83988095238095,90.04543650793651,64.8,12,Cumulus,mid clouds absent,nuages haut absent,2016-06-01
Brest,48.444167,-4.412,94,2016,Jul,7,1020.1640232974911,3.5092293906810035,17.111514336917587,13.396326164874575,80.51881720430107,95.85780423280423,26.7,9,low clouds absent,mid clouds absent,nuages haut absent,2016-07-01
Brest,48.444167,-4.412,94,2016,Aug,8,1020.741935483871,3.969758064516129,17.372580645161314,14.074596774193571,82.62096774193549,96.7827380952381,45,6,low clouds absent,mid clouds absent,nuages haut absent,2016-08-01
Brest,48.444167,-4.412,94,2016,Sep,9,1018.5325,3.935416666666667,16.38416666666669,13.84166666666669,86.05,97.33511904761905,71,12,low clouds absent,mid clouds absent,nuages haut absent,2016-09-01
Brest,48.444167,-4.412,94,2016,Oct,10,1019.8826036866359,3.1589285714285715,11.121658986175138,8.339688940092188,84.44297235023042,97.37966666666667,85.4,8,low clouds absent,mid clouds absent,nuages haut absent,2016-10-01
Brest,48.444167,-4.412,94,2016,Nov,11,1015.3004761904762,4.460773809523809,8.967500000000022,6.702797619047642,86.30654761904762,96.58836996336996,119,15,low clouds absent,mid clouds absent,nuages haut absent,2016-11-01
Brest,48.444167,-4.412,94,2016,Dec,12,1027.3903225806453,3.678168202764977,8.203225806451634,6.683064516129056,90.91935483870968,98.02367216117216,32.2,7,low clouds absent,mid clouds absent,nuages haut absent,2016-12-01
Le Puy,45.0745,3.764,833,2013,Jan,1,NA,2.204032258064516,0.3923387096774428,-2.1024193548386862,83.61693548387096,91.82976190476191,20,7,low clouds absent,mid clouds absent,nuages haut absent,2013-01-01
Le Puy,45.0745,3.764,833,2013,Feb,2,NA,3.1061862244897958,-1.2552295918367133,-4.612627551020385,77.63073979591837,95.13095238095238,22,7,low clouds absent,mid clouds absent,nuages haut absent,2013-02-01
Le Puy,45.0745,3.764,833,2013,Mar,3,NA,2.979435483870968,3.709274193548411,-0.5741935483870747,75.60483870967742,94.33192239858907,52.2,6,low clouds absent,mid clouds absent,nuages haut absent,2013-03-01
Le Puy,45.0745,3.764,833,2013,Apr,4,NA,2.4166666666666665,7.036666666666689,2.542916666666689,76.16666666666667,95.33592132505176,115.4,14,low clouds absent,mid clouds absent,nuages haut absent,2013-04-01
Le Puy,45.0745,3.764,833,2013,May,5,NA,2.829838709677419,8.500403225806474,4.128225806451636,75.96370967741936,93.35714285714286,131.8,17,low clouds absent,mid clouds absent,nuages haut absent,2013-05-01
Le Puy,45.0745,3.764,833,2013,Jun,6,NA,3.10125,14.103273809523833,8.130357142857168,69.57738095238095,92.07246376811594,31.2,4,low clouds absent,mid clouds absent,nuages haut absent,2013-06-01
Le Puy,45.0745,3.764,833,2013,Jul,7,NA,1.959861111111111,18.647361111111135,11.797222222222244,67.92916666666666,95.05,98.4,9,low clouds absent,mid clouds absent,nuages haut absent,2013-07-01
Le Puy,45.0745,3.764,833,2013,Aug,8,NA,2.163037634408602,16.849731182795722,10.46451612903228,69.22177419354838,93.91666666666667,36,2,low clouds absent,mid clouds absent,nuages haut absent,2013-08-01
Le Puy,45.0745,3.764,833,2013,Sep,9,NA,2.1644047619047617,14.077837301587325,8.152083333333355,71.6547619047619,93.45370370370371,35.6,3,low clouds absent,mid clouds absent,nuages haut absent,2013-09-01
Le Puy,45.0745,3.764,833,2013,Oct,10,NA,2.6334677419354837,11.480241935483894,7.742741935483892,79.08467741935483,95.16923076923077,61.3,6,low clouds absent,mid clouds absent,nuages haut absent,2013-10-01
Le Puy,45.0745,3.764,833,2013,Nov,11,NA,3.2775,3.310000000000022,0.4300000000000234,81.625,96.22956349206349,50.6,12,low clouds absent,mid clouds absent,nuages haut absent,2013-11-01
Le Puy,45.0745,3.764,833,2013,Dec,12,NA,2.331048387096774,1.984677419354862,-1.7072580645161064,77.54838709677419,98.21266233766234,39.800000000000004,5,low clouds absent,mid clouds absent,nuages haut absent,2013-12-01
Le Puy,45.0745,3.764,833,2014,Jan,1,NA,2.265725806451613,3.493548387096798,0.6395161290322817,82.11290322580645,97.38671274961598,80,8,low clouds absent,mid clouds absent,nuages haut absent,2014-01-01
Le Puy,45.0745,3.764,833,2014,Feb,2,NA,3.0839285714285714,3.8755314625850557,-0.2865008503401151,75.29187925170068,96.46598639455782,52.9,10,low clouds absent,mid clouds absent,nuages haut absent,2014-02-01
Le Puy,45.0745,3.764,833,2014,Mar,3,NA,2.638306451612903,5.403629032258088,-0.7592741935483645,67.55645161290323,94.32440476190476,24.599999999999998,6,low clouds absent,mid clouds absent,nuages haut absent,2014-03-01
Le Puy,45.0745,3.764,833,2014,Apr,4,NA,2.5116666666666667,8.650833333333356,2.9295833333333583,70.3,96.1492673992674,50,9,low clouds absent,mid clouds absent,nuages haut absent,2014-04-01
Le Puy,45.0745,3.764,833,2014,May,5,NA,3.6399193548387094,10.51169354838712,4.62701612903228,68.83467741935483,94.60039682539683,29.2,9,low clouds absent,mid clouds absent,nuages haut absent,2014-05-01
Le Puy,45.0745,3.764,833,2014,Jun,6,NA,2.631666666666667,16.361250000000023,8.531250000000021,63.47083333333333,93.91732804232804,56,7,low clouds absent,mid clouds absent,nuages haut absent,2014-06-01
Le Puy,45.0745,3.764,833,2014,Jul,7,NA,2.757661290322581,16.003629032258086,11.294354838709701,76.01209677419355,95.70094417077176,147.4,12,low clouds absent,mid clouds absent,nuages haut absent,2014-07-01
Le Puy,45.0745,3.764,833,2014,Aug,8,NA,1.992741935483871,15.242741935483894,10.212903225806473,73.88709677419355,93.75249615975423,62.8,6,low clouds absent,mid clouds absent,nuages haut absent,2014-08-01
Le Puy,45.0745,3.764,833,2014,Sep,9,NA,2.0554166666666664,14.267500000000023,9.473750000000024,75.12916666666666,96.56437389770723,27,7,low clouds absent,mid clouds absent,nuages haut absent,2014-09-01
Le Puy,45.0745,3.764,833,2014,Oct,10,NA,1.877016129032258,11.797177419354862,8.036290322580667,79.8225806451613,96.60709706959707,85.6,6,low clouds absent,mid clouds absent,nuages haut absent,2014-10-01
Le Puy,45.0745,3.764,833,2014,Nov,11,NA,2.1731547619047618,7.68101190476193,4.770654761904785,82.85535714285714,96.69950738916256,101.60000000000001,11,low clouds absent,mid clouds absent,nuages haut absent,2014-11-01
Le Puy,45.0745,3.764,833,2014,Dec,12,NA,2.504032258064516,1.9935483870967985,-0.5963709677419116,83.72177419354838,98.58482142857143,18.9,4,low clouds absent,mid clouds absent,nuages haut absent,2014-12-01
Le Puy,45.0745,3.764,833,2015,Jan,1,NA,2.538306451612903,1.463306451612925,-1.7633064516128798,80.375,98.5515873015873,16.7,5,low clouds absent,mid clouds absent,nuages haut absent,2015-01-01
Le Puy,45.0745,3.764,833,2015,Feb,2,NA,3.0183035714285715,-0.12678571428569058,-3.7540178571428355,77.96875,97.56944444444444,16,5,low clouds absent,mid clouds absent,nuages haut absent,2015-02-01
Le Puy,45.0745,3.764,833,2015,Mar,3,NA,2.744399641577061,5.333109318996439,0.5660394265233191,73.69086021505376,97.16475340136054,29,9,low clouds absent,mid clouds absent,nuages haut absent,2015-03-01
Le Puy,45.0745,3.764,833,2015,Apr,4,NA,2.8420833333333335,8.72041666666669,1.4591666666666907,64.44583333333334,96.3027950310559,52,4,low clouds absent,mid clouds absent,nuages haut absent,2015-04-01
Le Puy,45.0745,3.764,833,2015,May,5,NA,3.4375,12.877822580645184,5.455241935483895,64.48790322580645,95.33642857142857,11.6,3,low clouds absent,mid clouds absent,nuages haut absent,2015-05-01
Le Puy,45.0745,3.764,833,2015,Jun,6,NA,2.5054166666666666,17.390833333333354,9.740000000000022,65.24583333333334,95.18095238095238,46.699999999999996,5,low clouds absent,mid clouds absent,nuages haut absent,2015-06-01
Le Puy,45.0745,3.764,833,2015,Jul,7,NA,2.6405913978494624,21.0563172043011,10.139247311827978,54.46236559139785,92.99242424242425,30.8,4,low clouds absent,mid clouds absent,nuages haut absent,2015-07-01
Le Puy,45.0745,3.764,833,2015,Aug,8,NA,2.22741935483871,18.156451612903247,10.510483870967764,65.64112903225806,96.46273291925466,70.9,8,low clouds absent,mid clouds absent,nuages haut absent,2015-08-01
Le Puy,45.0745,3.764,833,2015,Sep,9,NA,2.475,11.944583333333357,7.517083333333356,76.3875,94.79073129251701,111.6,8,low clouds absent,mid clouds absent,nuages haut absent,2015-09-01
Le Puy,45.0745,3.764,833,2015,Oct,10,NA,1.9403225806451614,7.986175115207397,5.2837557603686856,84.0581797235023,98.2634126984127,33.3,5,low clouds absent,mid clouds absent,nuages haut absent,2015-10-01
Le Puy,45.0745,3.764,833,2015,Nov,11,NA,2.46,6.280000000000023,2.9158333333333553,80.47916666666667,96.93084886128365,30.3,4,low clouds absent,mid clouds absent,nuages haut absent,2015-11-01
Le Puy,45.0745,3.764,833,2015,Dec,12,NA,1.48536866359447,5.0532450076805135,2.4455261136712987,84.29877112135176,96.84585714285714,4.2,1,low clouds absent,mid clouds absent,nuages haut absent,2015-12-01
Le Puy,45.0745,3.764,833,2016,Jan,1,NA,2.4786290322580644,3.3745967741935723,0.4951612903226029,82.31451612903226,97.05266830870279,38.8,9,low clouds absent,mid clouds absent,nuages haut absent,2016-01-01
Le Puy,45.0745,3.764,833,2016,Feb,2,NA,3.296551724137931,3.356034482758643,0.2719827586207123,80.9396551724138,97.66666666666667,42.800000000000004,10,low clouds absent,mid clouds absent,nuages haut absent,2016-02-01
Le Puy,45.0745,3.764,833,2016,Mar,3,NA,3.0600230414746545,3.657661290322602,-0.4263248847926048,76.3508064516129,97.42857142857143,44.2,9,low clouds absent,mid clouds absent,nuages haut absent,2016-03-01
Le Puy,45.0745,3.764,833,2016,Apr,4,NA,3.3016666666666667,7.385000000000023,2.43041666666669,73.00833333333334,96.98490646258503,51.5,8,low clouds absent,mid clouds absent,nuages haut absent,2016-04-01
Le Puy,45.0745,3.764,833,2016,May,5,NA,3.5286290322580647,10.740322580645183,5.256451612903247,71.25806451612904,96.46471088435374,81.3,10,low clouds absent,mid clouds absent,nuages haut absent,2016-05-01
Le Puy,45.0745,3.764,833,2016,Jun,6,NA,2.2758333333333334,15.137380952380976,10.267321428571453,74.90238095238095,93.81855500821018,81.10000000000001,11,low clouds absent,mid clouds absent,nuages haut absent,2016-06-01
Le Puy,45.0745,3.764,833,2016,Jul,7,NA,2.4036290322580647,18.172625448028697,11.263261648745543,67.6415770609319,94.44380952380952,82.1,6,low clouds absent,mid clouds absent,nuages haut absent,2016-07-01
Le Puy,45.0745,3.764,833,2016,Aug,8,NA,2.0391129032258064,17.435887096774216,10.62217741935486,67.88306451612904,93.88095238095238,49.800000000000004,5,low clouds absent,mid clouds absent,nuages haut absent,2016-08-01
Le Puy,45.0745,3.764,833,2016,Sep,9,NA,2.026666666666667,14.993333333333357,9.632083333333355,73.42083333333333,94.84057971014492,46.1,6,low clouds absent,mid clouds absent,nuages haut absent,2016-09-01
Le Puy,45.0745,3.764,833,2016,Oct,10,NA,1.9545506912442396,8.334735023041496,5.177073732718917,82.09735023041475,96.82678571428572,68.89999999999999,5,low clouds absent,mid clouds absent,nuages haut absent,2016-10-01
Le Puy,45.0745,3.764,833,2016,Nov,11,NA,2.3533333333333335,5.447083333333357,2.7683333333333566,83.82916666666667,97.62097701149425,102.5,10,low clouds absent,mid clouds absent,nuages haut absent,2016-11-01
Le Puy,45.0745,3.764,833,2016,Dec,12,NA,1.094578853046595,1.6758512544803101,-0.9373207885304421,84.47894265232975,96.9390873015873,18.2,3,low clouds absent,mid clouds absent,nuages haut absent,2016-12-01
Nancy,48.581,5.959833,336,2013,Jan,1,1016.6490783410138,3.431221198156682,1.0535138248848153,-0.07027649769582951,91.91129032258064,99.11405529953917,49.2,9,low clouds absent,mid clouds absent,nuages haut absent,2013-01-01
Nancy,48.581,5.959833,336,2013,Feb,2,1016.7185586734694,3.5332270408163264,-0.41447704081630393,-2.394005102040794,86.3813775510204,97.94608843537415,66,9,low clouds absent,mid clouds absent,nuages haut absent,2013-02-01
Nancy,48.581,5.959833,336,2013,Mar,3,1008.2572580645161,3.406048387096774,2.807258064516152,-1.0915322580644946,76.80645161290323,97.54166666666667,35,5,low clouds absent,mid clouds absent,nuages haut absent,2013-03-01
Nancy,48.581,5.959833,336,2013,Apr,4,1015.2491666666667,4.064166666666667,9.32541666666669,3.1666666666666874,68.1375,97.4080459770115,106.2,9,low clouds absent,mid clouds absent,nuages haut absent,2013-04-01
Nancy,48.581,5.959833,336,2013,May,5,1012.7122695852535,3.3491935483870967,10.53991935483873,7.531298003072218,83.20372503840245,97.0028801843318,134.6,17,low clouds absent,mid clouds absent,nuages haut absent,2013-05-01
Nancy,48.581,5.959833,336,2013,Jun,6,1018.2429166666667,3.2420833333333334,16.270833333333357,10.781250000000021,72.7625,92.98290476190476,68.2,7,low clouds absent,mid clouds absent,nuages haut absent,2013-06-01
Nancy,48.581,5.959833,336,2013,Jul,7,1018.838629032258,2.9305645161290323,20.91927419354841,13.500241935483894,65.99112903225806,92.68675595238095,43.3,4,low clouds absent,mid clouds absent,nuages haut absent,2013-07-01
Nancy,48.581,5.959833,336,2013,Aug,8,1018.1133064516129,2.520564516129032,18.573790322580667,11.997580645161314,69.12096774193549,92.15902777777778,60.7,8,low clouds absent,mid clouds absent,nuages haut absent,2013-08-01
Nancy,48.581,5.959833,336,2013,Sep,9,1016.63625,3.1144444444444446,14.6952777777778,11.25250000000002,81.76527777777778,97.58173076923077,100,13,low clouds absent,mid clouds absent,nuages haut absent,2013-09-01
Nancy,48.581,5.959833,336,2013,Oct,10,1016.5490783410138,3.9578341013824883,12.278110599078365,9.939458525345644,86.4176267281106,96.92396313364056,139.8,13,low clouds absent,mid clouds absent,nuages haut absent,2013-10-01
Nancy,48.581,5.959833,336,2013,Nov,11,1017.787380952381,3.9019642857142856,4.852916666666689,3.3101190476190707,90.19047619047619,98.7688492063492,100.2,16,low clouds absent,mid clouds absent,nuages haut absent,2013-11-01
Nancy,48.581,5.959833,336,2013,Dec,12,1023.1539170506912,4.244028417818741,3.672811059907856,1.7032258064516337,87.92165898617512,98.34946236559139,37.2,6,low clouds absent,mid clouds absent,nuages haut absent,2013-12-01
Nancy,48.581,5.959833,336,2014,Jan,1,1010.388306451613,4.1658986175115205,4.822580645161314,2.7899193548387347,87.30645161290323,96.67983870967741,56,14,low clouds absent,mid clouds absent,nuages haut absent,2014-01-01
Nancy,48.581,5.959833,336,2014,Feb,2,1009.4513392857143,5.279974489795919,5.313839285714308,2.521875000000024,83.14732142857143,98.41139455782313,68.5,12,low clouds absent,mid clouds absent,nuages haut absent,2014-02-01
Nancy,48.581,5.959833,336,2014,Mar,3,1017.671370967742,2.725403225806452,7.9141129032258295,2.1350806451613145,70.33467741935483,96.18059523809524,17.2,2,low clouds absent,mid clouds absent,nuages haut absent,2014-03-01
Nancy,48.581,5.959833,336,2014,Apr,4,1015.1392261904762,2.7220833333333334,11.486309523809545,5.26839285714288,68.04761904761905,95.23099816849816,6.6000000000000005,2,low clouds absent,mid clouds absent,nuages haut absent,2014-04-01
Nancy,48.581,5.959833,336,2014,May,5,1016.5520161290323,3.797983870967742,12.958064516129056,7.739112903225829,73.29838709677419,93.6144499178982,50.8,13,low clouds absent,mid clouds absent,nuages haut absent,2014-05-01
Nancy,48.581,5.959833,336,2014,Jun,6,1016.8779166666667,3.014404761904762,18.1661904761905,9.791726190476213,61.43571428571428,90.81666666666666,32.8,4,low clouds absent,mid clouds absent,nuages haut absent,2014-06-01
Nancy,48.581,5.959833,336,2014,Jul,7,1014.333870967742,2.770564516129032,19.10725806451615,13.876209677419379,74.86290322580645,96.01190476190476,112.4,12,low clouds absent,mid clouds absent,nuages haut absent,2014-07-01
Nancy,48.581,5.959833,336,2014,Aug,8,1014.7209677419355,3.1201612903225806,16.217741935483893,12.352419354838734,79.31451612903226,90.19666666666667,91,13,low clouds absent,mid clouds absent,nuages haut absent,2014-08-01
Nancy,48.581,5.959833,336,2014,Sep,9,1018.2325,2.29875,15.795416666666691,11.971250000000024,79.69583333333334,95.80454545454546,23,4,low clouds absent,mid clouds absent,nuages haut absent,2014-09-01
Nancy,48.581,5.959833,336,2014,Oct,10,1017.4762096774193,2.683467741935484,12.869758064516153,10.856048387096797,88.48790322580645,95.27702821869488,76.6,9,low clouds absent,mid clouds absent,nuages haut absent,2014-10-01
Nancy,48.581,5.959833,336,2014,Nov,11,1011.7926785714286,2.894107142857143,7.791964285714307,6.597023809523833,92.56904761904762,96.69850088183422,98.6,10,low clouds absent,mid clouds absent,nuages haut absent,2014-11-01
Nancy,48.581,5.959833,336,2014,Dec,12,1021.8912442396313,4.099884792626728,3.336981566820298,2.305357142857165,93.26209677419355,97.3778801843318,54.2,10,low clouds absent,mid clouds absent,nuages haut absent,2014-12-01
